id;name;nutriscore;energy;fat_g;sugar_g;sodium_mg;perc_fruit;fibers_g;proteins_g
20267605;Anacardi;b;2510.4;47.6;6.5;20.0;67.1;5.2;20.5
20006105;Roggenvollkornbrot;a;878.64;1.8;3.9;1000.0;59.2;9.3;5.8
8008698007303;SCHAR - Fette crocantinis schar;c;1589.92;1.7;6;1400.0000000000002;66.63;2.3;6
5202390015878;Violife 100% vegan original flavour slices;e;1192.44;23;0;2300.0000000000005;96.83;0;0
00415668;Extra virgin olive oil;c;3443.4320000000002;91.5;0.5;10.0;74.39;0.5;0.5
0046000283265;8 Flour Tortilla Wraps Regular;b;1251.016;5.2;2.1;1000.0;81.59;1.6;9.1
00130530;Wholewheat biscuits;a;1497.872;2;4.4;280.0;92.7;10;12
00358156;Scottish porridge oats;a;1518.7920000000001;7;1.1;10.0;53.63;8.3;10.3
00359047;Italian Tomato Purée Double Concentrate;a;372.37600000000003;0.5;14.9;50.0;94.86;2.9;4.3
0041570080146;Almond breeze;b;54.392;1.1;0;150.0;50.67;0;0.5
0058449771890;Organic Gluten Free Mesa Sunrise;b;1673.6000000000001;3.3;13;1000.0;46.27;10;10
00159111;Coconut Milk;c;799.144;18.2;1.3;60.0;47.47;0.5;0.9
00642118;Bread loaf Super Seeded;a;1271.9360000000001;10.3;4.4;730.0;54.65;5;12
5010044010045;21 seeds and grains thin bagels;a;1121.3120000000001;2.4;4.7;850.0000000000001;59.35;3.5;10.6
00159425;Lighter Coconut Milk;c;276.144;5.6;0.7;30.0;79.3;0.5;0.5
00636186;Sparkling Elderflower & Rose;b;648.52;0.5;0.5;1000.0;81.6;1.4;3.8
01167078;Cannellini Beans;e;361.0792;0.513;0.427;25.750000000000004;72.75;5.47;6.41
00280457;Wholemeal bread;a;979.056;2.9;3;879.9999999999999;57.69;6.6;11.9
00410205;Scottish porridge oats;a;1518.7920000000001;7;1.1;10.0;70.37;8.3;10.3
00515221;Medium Wholemeal Super Soft Loaf;a;979.056;2.3;3.9;980.0;70.71;6.2;11
5000129339987;Bran flakes;a;1518.7920000000001;2.8;10;640.0;39.36;13;11
0024000124023;Fruit cocktail in juice;a;205.01600000000002;0;11;100.0;84.52;1;0.5
00358767;Vegetable oil;c;3451.8;91.7;0.5;10.0;41.32;0.5;0.5
00369695;Wholewheat fusilli;a;644.336;0.9;1.4;10.0;58.43;3.5;5.2
024000124962;Birnen;a;196.648;0.1;10.5;100.0;62.04;1;0.3
00315289;Thick wholemeal;a;979.056;2.9;3;879.9999999999999;59.28;6.6;11.9
00340960;Reduced Sugar & Salt Baked Beans;a;322.168;0.5;2.4;300.0;76.25;5.9;4.8
00246255;Soft Golden Wholemeal Farmhouse;a;928.8480000000001;2.3;2.2;1030.0;79.79;7.5;10
00175661;Walnut pieces;b;2916.248;68.5;2.6;20.0;100;4.1;14.7
0016229001711;Coconut Milk;d;774.0400000000001;18.072289156627;2.4096385542169;45.180722891567;63.39;0;1.2048192771084
00321570;Conchiglie;a;669.44;0.7;1.5;10.0;84.29;0;5.1
00053327;British Plain Flour;a;1430.928;1;0.5;30.0;83.07;3.5;9.7
00113557;Porridge oats;a;1518.7920000000001;7;1.1;10.0;97.4;0;10.3
4088600295350;Multigrain shapes;b;1627.576;2.6;14;130.0;85.94;0;8.4
00064491;Sunflower Oil;d;3464.3520000000003;92;0.5;10.0;82.17;0.5;0.5
00659048;Raisins;c;1209.1760000000002;0.5;69.3;150.0;52.64;4.1;0.5
0070177075101;Lemon & Ginger tea;b;8.368;0;0;0.0;79.23;0;0
00568517;Coconut Milk;d;761.488;19;1.9;800.0;66.31;0.5;0.8
00167048;Amandes;a;2464.376;47.7;7.2;100.0;45.84;9.7;25.8
0024000124948;Peaches halves in juice;b;213.38400000000001;0;11;60.0;74.95;0.6;0.4
4056489147855;Seeded flatbread;b;1447.664;9.3;2.5;899.9999999999999;71.4;0;10.9
5060482842197;Roasted almond trail mix bar;a;1656.864;23.8;22.1;10.0;63.05;13.2;11.5
00486682;Microwave Wholegrain Rice;a;569.024;1.6;0.2;80.0;72.09;2;2.6
00819350;German style rye loaf;e;907.928;0;0;0;78.07;0;0
00662789;Vittoria Cherry Vine Tomatoes;a;104.60000000000001;0.5;3.4;10.0;77.88;0;1.1
4088600103723;Penne pasta;b;560.6560000000001;0.6;0.5;100.0;87.94;0;5.3
5010251741978;avocado;a;669.44;15;0.7;100.0;61.03;3.6;2
00463072;soft eating apricot;c;857.72;0.7;32;100.0;64.61;4.1;2.2
00345576;Naturally sweet sweetcorn in water;a;368.192;1.7;7.5;10.0;63.79;3.1;2.6
00031059;Ultimate English Muffins;b;983.24;1.4;4.2;1280.0;53.55;3.2;7.9
00148214;;b;58.576;1.2;0.1;125.0;40.49;0.4;0.4
00074742;Taste the Difference Raspberry Conserve;c;1004.1600000000001;1;53;200.0;89.39;2.9;1
00178396;Extra virgin olive oil;c;3443.4320000000002;91.5;0.5;10.0;83.35;0;0.5
00438506;Red onions;a;158.99200000000002;0.5;5.9;10.0;44.68;1.1;1
00127226;Wholewheat fusilli;a;656.888;0.9;1.5;10.0;66.86;0;5.2
00492676;Reduced Fat Ready Salted Crisps;b;1987.4;21.9;0.3;1000.0;49.52;5.1;7.8
00030182;blackcurrant conserve;d;2163.128;30.200000762939;2.2000000476837;1300.0;65.33;2.3;6.0999999046326
00159388;Coconut Cream by Sainsbury's;c;916.296;21.8;2.1;80.0;63.92;0.5;0.9
00291538;Vitamin D;c;217.568;0.5;11.5;10000.0;83.66;4.5;0.5
0043647380012;Tiptree Orange Marmalade;d;1142.232;0;66;0.0;45;0;0
00518949;Soft Wholemeal Rolls;a;979.056;4.0999999046326;4.4000000953674;779.9999713897699;75.59;5.6;10.800000190735
00670180;Sultanas;c;1251.016;0.5;69.4;50.0;81.48;0;2.7
00045766;Celery;b;41.84;0.5;0.9;150.0;81.43;0;0.5
00455664;Royal Gala Apples;a;225.936;0.5;11.1;10.0;95.2;0;0.6
00491280;Graine de tournesol;d;2506.216;47;1;1000.0;77.37;0;23
3168930010265;Cruesli Mélange De Noix;a;1933.008;19;12;0.0;89.18;10;8.5
80135463;;e;2255.176;30.9;56.3;107.0;76.42;0;6.3
5411188112709;Almond No Sugars;b;54.392;1.1;0;140.0;91.75;0.3;0.4
3168930009078;Flocons d'avoine complète;a;1569.0;8;1.1;10.0;92.91;9;11
8076800195057;Spaghetti n.5;a;1502.056;2;3.5;10.0;84.99;3;13
3159470000120;Corn Flakes;b;1581.5520000000001;0.9;8;1100.0;57.25;3;7
20047238;Mixed nuts;a;2702.864;58;4.2;10.0;39.42;8.5;20.4
5010029220773;Weetabix;a;1514.608;2;4.2;280.0;70.94;10;12
5411188110835;Geröstete Mandel-Drink;b;92.048;1.1;2.4;140.0;75.97;0.4;0.4
3229820787015;Amande sans sucre;b;104.60000000000001;1.7;0.5;50.0;88.37;0.5;0.7
7394376616501;Hafer Barista Edition;b;246.85600000000002;3;3.4;100.0;75.63;0.8;1.1
5411188124689;No sugars oat;a;167.36;1.5;0;90.0;63.72;1.2;0.2
5010029219241;Crispy minis;a;1615.0240000000001;5.1;17;160.0;59.36;10;10
80042556;Pulpe fine de tomates;a;108.784;0.2;2.8;300.0;52.5;0;1.2
3159470001424;Céréales All Bran Kellogg's Fibre Plus;c;1397.4560000000001;3.5;18;950.0;86.81;27;14
5060042641000;Lightly sea salted crisps;b;1991.584;27;0.64;840.0000000000001;100.0;5.5;6.2
5411188110842;Alpro Noisette;b;121.336;1.6;3.2;140.0;2.8;0.3;0.4
5411188115366;Oat;a;184.096;1.4;2.6;100.0;65.76;1.9;0.4
80176800;Nutella 750g;e;2230.072;30.9;56.3;109.99999999999999;68.03;3;6.3
5053990138753;Sour Cream & Onion;d;2242.6240000000003;32;2.4;1400.0000000000002;76.79;2.9;4.6
5053827101424;Smacks;c;1577.3680000000002;1.6;34;20.0;53.88;5;7.1
5000157024671;Beanz In a rich tomato sauce;a;338.904;0.4;4.3;600.0;34;3.9;4.8
5411188128311;Kokos ohne Zucker;b;58.576;1.2;0;70.0;80.94;0;0.1
5010029000061;Weetabix Original;a;1514.608;2;4.2;280.0;70.65;10;12
5010029201246;Müsli No Added Sugar Swiss Style Muesli;a;1543.896;5.8;16;280.0;15;8.3;12
7300400118101;Original;a;1397.4560000000001;1.5;1;1000.0;61.55;19;9
8410076801180;Crunchy oats&honey;c;1953.928;18.1;26.8;850.0000000000001;72.84;6.4;8.7
8008698007389;Seeded Loaf (Bread);b;1041.816;6.6;4.1;970.0;53.68;9.9;4.5
8008698005576;Maestro classic;a;974.8720000000001;3.4;3.3;990.0;74.46;8.1;3.5
20101268;Nougat Bits / Choco Hazelnut Pillows;c;1861.88;15.4;28.5;400.0;69.16;4.8;7.2
5411188130055;Plant protein chocolate flavour;a;288.696;2.8;5;160.0;53.71;1.3;5
5701977000097;Organic Vegan Block;e;2782.36;75;0.5;1200.0;82.54;0;0.5
5010029220629;Oatibix, avena suave;a;1548.0800000000002;8;1.1;30.0;98.0;9;11
7394376616129;Hafer Haver Calcium;b;188.28;1.5;4;100.0;78.25;0.8;1
20004132;Tomaten gehackt;c;108.784;0.2;2.7;1300.0;76.74;0;1.3
3250391896554;Flocons d'avoine;a;1527.16;6.8;1.1;20.0;57.87;11.4;12.1
5010029000214;Weetabix;a;1514.608;2;4.4;280.0;79.24;10;12
4000405005033;Vegane Mühlen Nuggets Klassisch;a;849.3520000000001;10;0.6;1600.0;76.88;6.4;14
80042532;Double Concentrate Tomato Purée;a;401.664;0.2;14;500.0;66.27;0;4.2
5411188130031;Plant Protein;a;238.488;2.8;2.5;100.0;81.62;0.9;5
5202390020407;Greek white;e;1276.1200000000001;29;0;1700.0000000000002;61.5;0;0
5053827111188;Céréales Corn Flakes Kellogg's Original;b;1581.5520000000001;0.9;8;1120.0;71.51;3;7
8715700131139;Bohnen in Tomatensauce - Heinz;a;326.35200000000003;0.2;4.7;600.0;66.75;3.9;4.7
7394376616228;Oat drink barista edition;b;246.85600000000002;3;4;100.0;49.5;0.8;1
5060042641420;Chips sel de mer et poivre noir;c;2075.264;27.2;1.4;1300.0;49.76;5;6.8
4000417025005;Schokolade Marzipan;e;2075.264;27;51;10.0;70.98;0;7
5411188099154;Simply plain - soya yogurt;a;213.38400000000001;2.3;2.1;250.0;82.14;1;4
8412600012185;Pan de molde grande;a;1054.368;2.7;3.8;1100.0;78.35;4.7;9.8
5060042641406;sea salt & cider vinegar chips;c;1928.824;25;1.8;2000.0;54.39;5.2;5.7
8001250120342;Fusilli n°34;a;1468.584;1.5;3.4;0.0;88.16;2.9;14
20443375;Gemüse Oliven, grün, ohne Stein;d;719.648;18;0;4000.0;56.27;0;1
20753030;Banane;a;378.652;0.5;15.6;32.5;50.37;2.7;1.06
5411188129899;Barista Mandel;b;104.60000000000001;1.2;2.5;80.0;67.41;0.2;0.5
8410076900302;Protein Peanut & Chocolate Cereal Bar;d;2104.552;30.1;16.3;899.9999999999999;52.47;13.8;25.7
5411188543381;Soya Original;a;163.17600000000002;1.8;2.5;90.0;86.35;0.5;3
20033347;Olives vertes;c;715.464;18;0;2900.0;47.35;2.3;1
5053827206730;Kellogg's Corn Flakes;c;1581.5520000000001;0.9;8;1130.0000000000002;60.8;3;7
8001250120076;Linguine n° 7;a;1468.584;1.5;3.4;0.0;55.74;2.9;14
7613033174667;Dolce Gusto Café au Lait;e;1673.6000000000001;20;29.1;1030.0;91.92;8.2;21.2
8711327374904;Cookies on Cookie Dough Non-Dairy Ice Cream;d;962.32;12;18;140.0;69.98;0.96;1.7
4056489104254;Kokosraspel;c;2794.9120000000003;65.2;6.6;50.0;100;14.8;7.4
5000108022152;Quaker Rolled Oats;a;1564.816;8;1.1;0.0;63.93;9;11
20534479;Soft Datteln entsteint;c;1192.44;0.3;57;30.0;52.57;6.9;2.2
