nutriscore,G_0,PMS_0.5,PMS_0.6,PMS_0.7,OMS_0.5,OMS_0.6,OMS_0.7,Decision Tree,kNN,Random Forest
a,b,a,a,a,c,e,e, a, a, a
e,e,b,e,e,e,e,e, e, e, e
b,b,a,a,e,c,c,e, b, b, b
b,c,e,e,e,e,e,e, b, b, b
a,b,a,a,e,c,e,e, a, a, a
b,b,b,b,e,e,e,e, b, b, a
a,b,b,e,e,e,e,e, a, a, a
a,b,a,a,e,c,c,e, a, b, b
a,b,a,e,e,e,e,e, a, a, a
b,c,e,e,e,e,e,e, b, b, b
b,c,e,e,e,e,e,e, b, b, b
b,c,e,e,e,e,e,e, b, b, b
a,c,e,e,e,e,e,e, a, b, a
a,b,a,a,a,e,e,e, a, a, b
a,c,e,e,e,e,e,e, b, b, b
b,c,a,b,e,c,e,e, b, b, c
e,d,b,b,b,c,c,e, c, e, d
a,c,e,e,e,e,e,e, a, b, a
d,c,b,c,c,c,e,e, c, d, d
c,b,a,a,e,c,e,e, c, a, b
a,b,c,c,e,b,b,e, a, a, a
b,c,e,e,e,e,e,e, b, b, b
a,b,a,e,e,e,e,e, a, a, a
c,c,a,a,a,c,e,e, c, b, c
a,b,a,a,e,e,e,e, a, a, a
a,b,a,a,a,e,e,e, a, a, a
c,c,a,a,a,c,e,e, c, a, c
a,c,e,e,e,e,e,e, a, a, a
b,c,a,e,e,e,e,e, a, a, b
a,b,a,e,e,e,e,e, b, a, a
b,c,e,e,e,e,e,e, b, b, b
d,e,e,e,e,e,e,e, d, b, c
c,c,e,e,e,e,e,e, c, c, c
a,c,a,a,a,c,c,e, a, a, a
a,b,a,e,e,e,e,e, a, a, a
a,c,a,a,a,c,c,e, a, a, a
a,c,e,e,e,e,e,e, a, a, a
a,c,e,e,e,e,e,e, a, b, a
a,b,e,e,e,e,e,e, a, a, a
e,e,e,e,e,e,e,e, e, c, e
a,b,a,a,e,c,e,e, a, a, a
b,b,b,b,e,e,e,e, b, b, a
b,c,e,e,e,e,e,e, b, b, b
a,b,a,a,e,e,e,e, a, a, a
c,c,a,a,a,c,e,e, c, d, c
e,d,a,e,e,e,e,e, e, e, e
d,e,e,e,e,e,e,e, c, a, d
a,c,e,e,e,e,e,e, a, b, a
c,c,a,b,b,c,c,e, c, c, c
a,b,b,e,e,e,e,e, a, a, a
a,b,a,a,a,e,e,e, a, a, a
d,c,a,a,a,c,e,e, d, b, c
c,b,a,a,a,c,e,e, c, b, a
a,c,e,e,e,e,e,e, a, b, b
b,c,e,e,e,e,e,e, b, b, b
a,c,e,e,e,e,e,e, a, b, a
c,e,e,e,e,e,e,e, c, a, c
c,b,b,b,e,e,e,e, c, b, a
a,b,b,e,e,e,e,e, a, a, a
d,d,e,e,e,e,e,e, e, a, c
e,c,a,a,a,c,e,e, c, b, e
a,b,a,a,e,c,e,e, a, a, a
c,c,e,e,e,e,e,e, c, a, c
b,b,a,a,e,c,e,e, b, e, a
e,d,a,e,e,e,e,e, e, c, c
c,a,a,a,a,c,c,c, a, b, c
b,c,e,e,e,e,e,e, b, b, b
e,c,e,e,e,e,e,e, e, a, b
c,c,a,b,b,c,e,e, c, b, c
a,b,b,e,e,e,e,e, a, a, a
