product_name;nutriscore_score;nutriscore_grade;energy;sugar_g;fat_g;sodium_mg;proteins_g;fibers_g;perc_fruit;assessment_pi_1;assessment_pi_2;assessment_pi_3;assessment_pi_4;Pes_classification_50;Pes_classification_60;Pes_classification_70;Opt_classification_50;Opt_classification_60;Opt_classification_70
Multigrano arandanos y sabor fresa;11;d;1940.0;29.4;4.41;0.411;5.88;5.88;15.0;0.875;0.6875;0.25;0.0;c;c;d;c;c;d
Les gourmandises chocolat noir et fruits - Framboise et cranberries;21;e;1958.0;60.0;13.0;0.02;3.3;4.6;23.0;0.5625;0.4375;0.25;0.25;d;e;e;d;e;e
Tortilla Chips - Salted;1;b;1979.0;0.8;2.0;0.9;6.6;4.0;0.0;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Stevia chocolate;14;d;1741.1;14.4;20.2;0.3;11.3;10.2;0.0;0.625;0.625;0.375;0.125;c;c;e;c;c;e
Il Pandoro;19;e;1695.0;18.0;12.0;0.65;8.4;1.6;0.0;0.5;0.5;0.25;0.0;e;e;e;c;e;e
Light & Tangy;21;e;2080.0;4.0;14.3;1.76022;6.1;2.6;0.0;0.5;0.125;0.0625;0.0;e;e;e;d;e;e
ECLATS DE NOISETTES - KAMBLY - 100g;27;e;2348.0;45.0;22.0;0.26;9.1;0.0;11.0;0.4375;0.375;0.25;0.0;e;e;e;e;e;e
Biscuits Petit déjeuner Céréales Pépites de Chocolat et Noisettes;10;c;2061.0;27.0;3.9;0.3;7.6;5.0;22.4333333333333;0.875;0.8125;0.5;0.0;c;c;c;b;c;c
Oreo;21;e;1409.0;28.1;13.8;0.3;2.7;0.7;0.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Pâté abricots individuel 160g;13;d;1117.0;23.0;5.8;0.5;3.9;1.8;42.3333333333333;0.875;0.625;0.3125;0.0;c;c;d;c;c;d
Galletas Mariñeiras Lino;7;c;1833.0;2.3;1.7;1.4;12.0;4.9;9.0;0.875;0.875;0.3125;0.0625;c;c;c;c;c;c
La Vicoise;2;b;2001.0;0.64;2.4;0.89;6.2;5.4;4.66666666666666;0.875;0.75;0.3125;0.0625;c;c;c;c;c;c
Galletas mini maría;10;c;1815.0;19.0;0.9;0.85;7.5;2.5;0.0;0.75;0.75;0.25;0.25;c;c;c;c;c;c
Barquillos rellenos crema almendra;20;e;2011.0;50.0;5.8;0.27;5.1;2.5;6.0;0.6875;0.5625;0.25;0.0;c;d;e;c;d;e
Biscuithé;16;d;1927.0;26.0;6.5;0.7;7.4;3.0;0.0;0.875;0.6875;0.25;0.0;c;c;d;c;c;d
Madeleines longues;15;d;1969.0;28.0;2.2;0.61;5.0;0.5;21.3333333333333;0.75;0.5625;0.5;0.0;c;d;d;b;d;d
Variedad;4;c;576.0;10.0;2.2;0.06;1.8;0.5;0.0;0.625;0.625;0.625;0.25;b;b;e;b;b;e
Choco fundir con leche;23;e;2215.0;52.0;19.0;0.1;8.3;3.6;0.0;0.5625;0.4375;0.25;0.25;d;e;e;d;e;e
Doonuts Nappé Chocolat France;15;d;1861.0;31.0;4.4;0.39;5.6;1.0;22.0;0.75;0.5625;0.25;0.0;c;d;d;c;d;d
Light Riffelchips gesalzen;8;c;2022.0;0.5;1.8;1.5;7.0;5.0;0.0;0.875;0.5;0.3125;0.0625;d;d;d;c;d;d
Scharfe Knabber-Nüsse mit Chili;1;b;2514.0;4.4;7.0;0.7;26.0;9.4;95.2;1.0;0.9375;0.6875;0.375;b;b;c;b;b;c
Moelleux pépites chocolat Bio sans allergènes;2;b;497.0;8.0;1.3;0.14;0.8;1.2;0.0;0.625;0.625;0.625;0.25;b;b;e;b;b;e
Gullon Maria Doroda;0;b;1771.0;1.5;1.4;0.85;7.3;5.3;0.0;0.875;0.875;0.3125;0.0625;c;c;c;c;c;c
Petit Beurre Complet / Riche en fibres / au blé complet;16;d;1878.0;16.7;9.4;1.11;9.1;6.7;0.0;0.875;0.625;0.125;0.0;c;c;d;c;c;d
Biscuit tablette;23;e;2057.0;34.0;12.0;0.49;6.6;2.6;0.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Petits pains grillés blé complet sans sucres ajoutés;0;b;1644.0;2.8;0.6;1.4;12.0;6.3;7.2;0.875;0.875;0.4375;0.3125;c;c;c;c;c;c
Glückstaler Klassik - mit extra viel Butter;20;e;2185.0;24.7;18.3;0.25;6.9;2.5;0.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Les chocolats belges;23;e;2171.0;48.0;17.0;0.16;6.2;3.6;3.3205047249794;0.5625;0.3125;0.25;0.25;d;e;e;d;e;e
Crackers pomme épeautre;9;c;1760.0;19.0;1.2;1.0;12.0;6.0;28.5;0.875;0.875;0.375;0.0;c;c;c;c;c;c
Wafer Chocolate con Avellana;6;c;626.0;13.0;3.6;0.15;1.6;0.9;3.125;0.625;0.625;0.625;0.25;b;b;e;b;b;e
Marmor Butter Sterne;22;e;1939.0;28.5;15.0;0.85;6.8;2.0;0.0;0.5;0.3125;0.0;0.0;e;e;e;d;e;e
Orange intense 100g;23;e;2263.0;42.0;18.0;0.26;6.7;3.2;11.5;0.5625;0.3125;0.25;0.0;d;e;e;d;e;e
Dinkelsticks Gerösteter Sesam;-1;a;1685.0;2.1;0.9;0.95;12.0;6.5;0.0;0.875;0.875;0.4375;0.3125;c;c;c;c;c;c
Palmeritas;24;e;2084.0;32.0;13.0;0.762;5.0;2.0;0.0;0.5;0.3125;0.25;0.0;e;e;e;d;e;e
Saveur Ch'ti sauce Pom'Frites;9;c;2204.0;1.8;2.7;1.3;6.1;4.2;10.25;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Café molido, natural sabor fuerte;-3;a;1299.0;1.3;4.2;0.02;17.0;50.0;0.0;0.875;0.875;0.625;0.5625;a;b;c;a;b;c
4 Feuilletés Jambon Fromage, Surgelés;12;d;296.0;3.4;9.2;1.2;6.4;2.3;0.0;0.75;0.375;0.125;0.125;d;d;d;d;d;d
Cookies Noix de Coco, Dattes et Noix de Cajou;8;c;2450.0;23.4;33.2;0.32;9.7;9.4;96.0;0.75;0.6875;0.5;0.25;c;c;d;b;c;d
Bubbly Alpine Milk;26;e;2230.0;57.0;18.0;0.36;6.3;1.9;0.0;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Coleslaw Sauce Douce;-2;a;559.0;5.0;0.9;0.9;1.0;2.0;86.5446555397727;0.75;0.75;0.5;0.375;c;c;c;b;c;c
Amandes gout fumé;2;b;2536.0;4.6;4.3;1.2;19.0;6.5;95.0;1.0;0.9375;0.4375;0.25;c;c;c;c;c;c
Roasted Seaweed Snack;-4;a;1254.0;0.0;0.0;0.23;50.0;1.0;62.5;0.875;0.875;0.75;0.4375;b;b;b;b;b;b
Chips Sour Cream & Onion;11;d;2209.0;2.5;2.5;1.4;4.0;3.5;0.0225360576923066;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Caramelos jengibre & própolis 0% azúcares;-3;a;995.0;0.0;0.2;0.0;0.0;96.0;0.0;0.75;0.75;0.75;0.6875;a;a;b;a;a;b
Atlantis Original;27;e;2374.0;45.0;16.0;0.49;8.0;1.0;12.0;0.4375;0.375;0.25;0.0;e;e;e;e;e;e
Snack-Erbsen ungarische Paprika;-2;a;1702.0;7.9;1.0;1.0;14.0;8.7;62.0;1.0;1.0;0.5625;0.375;b;c;c;b;c;c
;8;c;1670.0;37.0;1.0;0.01;9.0;4.0;8.52272727272727;0.8125;0.6875;0.5;0.5;c;c;d;a;c;d
Cracker con riso soffiato;9;c;1779.0;2.2;0.9;1.5;10.0;2.5;0.0;0.75;0.5;0.3125;0.3125;d;d;d;c;d;d
Strawberry squeeze;-3;a;265.0;13.7;0.1;0.0;0.5;1.8;99.9;0.75;0.75;0.6875;0.6875;a;a;c;a;a;c
Snack de Pan con pipas;15;d;2177.0;1.3;2.8;2.3;11.4;3.4;0.0;0.625;0.5;0.3125;0.0625;d;d;e;c;d;e
Petits Plaisirs saveur Cappuccino au chocolat noir suisse;24;e;2189.0;49.0;18.0;0.28;7.3;3.3;3.125;0.5625;0.4375;0.25;0.0;d;e;e;d;e;e
Suikervrije softgums;2;b;917.0;0.3;0.0;0.12;0.4;0.0;0.0;0.625;0.625;0.625;0.5625;a;b;e;a;b;e
Wok - Légumes japonais et lait de coco;2;b;614.0;7.3;0.8;0.53;2.8;1.4;16.1666666666667;0.75;0.625;0.625;0.25;b;b;d;b;b;d
Coleslaw à la moutarde à l'ancienne;-3;a;518.0;5.5;0.8;0.6;1.0;2.5;81.2505722045898;0.75;0.75;0.75;0.375;b;b;b;b;b;b
Dinkel Frischei Waffeln;17;d;2085.0;35.0;3.0;0.78;8.8;1.8;0.0;0.6875;0.6875;0.5;0.0;c;c;e;b;c;e
Déjeuner REM;13;d;1662.0;18.0;3.6;1.3;7.6;2.3;0.0;0.75;0.75;0.25;0.0;c;c;c;c;c;c
Cream'loop enrobés de chocolat blanc;26;e;2228.0;48.0;17.0;0.5;5.0;2.0;0.0;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Date, hazelnut & cocoa bars;9;c;1831.0;39.0;2.5;0.02;9.8;12.0;57.0;0.9375;0.9375;0.625;0.375;b;b;c;b;b;c
Haselnuss Riegel;-4;a;1529.0;1.2;1.2;0.3;8.1;5.3;10.4;0.875;0.875;0.5625;0.0625;b;c;c;b;c;c
Tartine craquante sarrasin riz maïs;-3;a;1554.0;1.5;0.6;0.6;11.3;4.7;0.0;0.875;0.875;0.5625;0.3125;b;c;c;b;c;c
Naturals Meersalz & Pfeffer;13;d;2189.0;2.1;2.4;2.0;5.9;3.4;0.0;0.875;0.375;0.3125;0.0625;d;d;d;d;d;d
Dinkel Schoko-Split mit Zartbitterschokolade;17;d;1911.0;25.0;14.0;0.13;7.1;3.4;0.0;0.625;0.3125;0.25;0.25;d;d;e;d;d;e
Biscuits pépites de chocolat quinoa;18;d;1803.0;20.0;8.7;0.8;7.8;2.7;0.0;0.75;0.5;0.25;0.0;d;d;d;c;d;d
Triángulos de maíz;10;c;2073.0;5.5;2.5;1.016;6.9;3.4;0.0;0.875;0.625;0.3125;0.0;c;c;d;c;c;d
Proper Corn - Sweet Coconut & Vanilla;6;c;2033.0;15.1;1.9;0.23;6.0;7.7;22.5694444444444;0.875;0.75;0.625;0.125;b;b;c;b;b;c
Lulu La Barquette Fraise;13;d;1487.0;58.0;0.6;0.09;3.8;1.7;27.8;0.6875;0.5625;0.5;0.5;c;d;e;a;d;e
Macédoine de légumes;-3;a;159.0;1.1;0.1;0.7;2.1;3.4;96.875;0.875;0.75;0.75;0.5;b;b;b;a;b;b
Noir dessert corsé 64% de cacao;18;d;2187.0;36.0;22.0;0.02;9.1;10.0;0.0;0.5625;0.5625;0.375;0.375;c;e;e;c;e;e
Apple crumble;10;c;1010.0;21.0;4.2;0.01;2.4;1.6;35.0;0.75;0.625;0.3125;0.25;c;c;d;c;c;d
Cheetos torciditos;13;d;2260.0;3.33;5.0;1.35;6.67;3.33;0.0;0.875;0.625;0.0625;0.0625;c;c;d;c;c;d
Wafle ryżowe wieloziarniste;0;b;1615.0;1.2;0.7;0.98;8.1;3.5;0.0;0.875;0.75;0.3125;0.3125;c;c;c;c;c;c
Prosport - barre cacahuètes 🥜et caramel salé;-4;a;931.0;8.9;2.3;0.2;11.7;2.4;66.0;0.875;0.875;0.625;0.25;b;b;c;b;b;c
;23;e;2260.0;46.0;18.0;0.09;6.0;3.0;0.0;0.5625;0.3125;0.25;0.25;d;e;e;d;e;e
Funny Ghost;2;b;405.0;1.2;0.6;0.36;0.9;0.5;0.0;0.625;0.625;0.625;0.3125;b;b;e;b;b;e
KITKAT White barre au chocolat blanc, 8x41.5g;27;e;2154.0;48.8;14.5;0.3;8.3;0.7;0.0;0.4375;0.4375;0.25;0.0;e;e;e;e;e;e
Mandel Magic;2;b;1368.0;52.4;0.7;0.01;3.8;10.4;92.5;0.9375;0.8125;0.75;0.75;a;a;a;a;a;a
Galettes Potiron Butternut Carottes;-2;a;395.0;4.3;1.3;0.7;3.4;3.0;82.1102083333333;1.0;0.75;0.75;0.125;b;b;b;b;b;b
Knusprige Salz Tortilla Chips;6;c;2013.0;0.6;2.1;0.9;7.8;6.0;0.0;0.875;0.875;0.4375;0.0625;c;c;c;c;c;c
Chocolat;1;b;210.0;4.9;1.1;0.08;1.5;1.0;0.0;0.625;0.625;0.625;0.3125;b;b;e;b;b;e
Gomme goût menthe eucalyptus;-3;a;814.0;0.0;0.2;0.0;0.0;44.7;0.045;0.75;0.75;0.75;0.6875;a;a;b;a;a;b
Tartines craquantes au blé complet;-2;a;1598.0;3.1;1.1;0.75;12.0;7.4;0.0;0.875;0.875;0.6875;0.1875;b;b;c;b;b;c
Yoğurt ve Mevsim Yeşillikli Patates Cipsi;11;d;2241.0;2.9;4.8;1.3;6.2;3.8;0.0;0.875;0.625;0.0625;0.0625;c;c;d;c;c;d
Tartines craquantes Sarrasin;-3;a;1532.0;1.0;0.7;0.57;11.0;4.5;0.0;0.875;0.875;0.5625;0.3125;b;c;c;b;c;c
Qualité & Prix Chocolate au lait suisse;25;e;2230.0;57.0;18.0;0.275;6.0;2.0;0.0;0.4375;0.3125;0.25;0.0;e;e;e;e;e;e
Crumpets nature;3;c;818.0;4.0;0.1;1.5;6.0;2.6;0.0;0.75;0.375;0.375;0.25;d;d;d;d;d;d
Chocolat noir tablette;21;e;2152.0;46.0;17.0;0.03;7.5;8.8;0.0;0.5625;0.5625;0.375;0.375;c;e;e;c;e;e
4 muffins citron & pavot;-2;a;962.0;9.2;0.3;0.9;9.7;4.0;2.308828125;0.875;0.75;0.375;0.25;c;c;c;c;c;c
Chocolat noir 100+;18;d;2741.0;0.0;40.0;0.01;8.7;0.0;0.0;0.5;0.4375;0.3125;0.3125;e;e;e;d;e;e
Pain au lait pur beurre;16;d;1499.0;15.0;7.9;1.1;8.8;2.8;1.7775;0.75;0.5;0.0;0.0;d;d;d;c;d;d
Noir Special 72 Chocolat extra noir;17;d;2450.0;27.0;28.0;0.025;8.0;11.0;0.0;0.625;0.5;0.375;0.375;d;d;e;c;d;e
La Gourmande 30g;10;c;2172.0;2.9;3.1;1.2;6.8;4.4;0.0;0.875;0.625;0.3125;0.0625;c;c;d;c;c;d
Crocantes chocolate;24;e;2111.0;41.0;14.0;0.68;5.1;4.0;0.0;0.5625;0.3125;0.25;0.0;d;e;e;d;e;e
Witte choco framboos vlaai;18;d;1355.0;21.0;15.0;0.18;2.72;0.2;3.00772804054054;0.5;0.375;0.25;0.25;e;e;e;d;e;e
Pastilles Eucalyptus Menthol sans sucre;2;b;980.0;0.5;0.0;0.0;0.0;0.0;0.0;0.625;0.625;0.625;0.5625;a;b;e;a;b;e
